Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 2311; GUARANI - 138;  4,832;  4,706;  5,734;  5,734
; 6582; IACANGA - 138;  5,095;  5,004;  5,734;  5,734
; 2341; IBITINGA-SE - 138;  5,102;  5,013;  5,734;  5,734
;  645; IBITINGA - 138;  5,096;  5,006;  5,734;  5,734
; 2342; IPORA - 138;  4,823;  4,697;  5,734;  5,734
;  689; ITAIPAVA - 138;  5,532;  5,471;  5,734;  5,734
; 6610; ITATIBA - 138;  5,481;  5,459;  0,868;  0,868
; 2125; JAU - 138;  5,723;  5,766;  5,734;  5,734
;  187; M. MORAES - 138;  5,585;  5,469;  1,777;  1,777
; 3111; MORRO AGUDO - 138;  5,326;  5,212;  1,004;  1,004
;  596; MIRASSOL II - 138;  5,023;  4,909;  1,007;  1,007
;  696; MOGI MIRIM II - 138;  5,618;  5,597;  5,734;  5,734
; 4236; N.AVANHANDAVA - 13,8;  4,862;  4,739;  5,734;  5,734
; 2291; AJINOMOTO VAL - 138;  4,707;  4,571;  5,734;  5,734
; 3112; P. COLOMBIA - 138;  5,266;  5,122;  0,988;  0,988
; 2345; PENAPOLIS - 138;  4,912;  4,798;  5,734;  5,734
;  654; PENAPOLIS 1 - 138;  4,904;  4,788;  5,734;  5,734
; 2314; PINHAL - 138;  5,648;  5,618;  5,734;  5,734
;  577; PIRACICABA - 138;  5,485;  5,454;  0,822;  0,822
;  661; PROMISSAO - 138;  4,947;  4,838;  5,734;  5,734
; 2182; QUIMICA AMPAR - 138;  5,667;  5,657;  5,734;  5,734
;  564; RIBEIRAOPRETO - 138;  5,456;  5,371;  0,178;  0,178
;  568; SANTA BARBARA - 138;  5,570;  5,545;  0,147;  0,147
; 2346; SAO CARLOS - 138;  5,455;  5,406;  5,734;  5,734
;  703; SAO CARLOS II - 138;  5,450;  5,402;  5,734;  5,734
;  665; S.J.RIO PRETO - 138;  5,005;  4,889;  5,734;  5,734
;  571; SUMARE - 138;  5,579;  5,557;  1,907;  1,907
